"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"2849",2849,"JAIRATECH INC.","HUNSTMAN ADVANCED MATERIALS","US",6,"OTHERS",441002,38,11605.31579,"United States"
"2850",2850,"EATON INDUSTRIES PHILIPPINES LLC P","EPOXYSET INC","US",6,"EPOXY",698753,145,4818.986207,"United States"
"2851",2851,"CHIYODA PHILIPPINES MANUFACTURING","CHIYODA MANUFACTURING CORP","JP",6,"OTHERS",610307,366,1667.505464,"Japan"
"2852",2852,"CHIYODA PHILIPPINES MANUFACTURING","CHIYODA MANUFACTURING CORP","JP",6,"OTHERS",307594,183,1680.84153,"Japan"
"2853",2853,"SIA ENGINEERING PHILS CORP.","AEROSPHERES (UK) LTD.","US",6,"SEAL",557562,48,11615.875,"United States"
"2854",2854,"N.T. PHILIPPINES INC.","TAIFLEX SCIENTIFIC CO. LTD.","TW",6,"OTHERS",489654,139,3522.690647,"Taiwan"
"2855",2855,"INTERPHIL LABORATORIES INC.","LAPI GELATINE SPA","IT",6,"GELATIN",1685581,2000,842.7905,"Italy"
"2856",2856,"TRS PHILS CORPORATION","TRS CO, LTD.","JP",6,"GLUE",1079953,91,11867.61538,"Japan"
"2857",2857,"MAXTRONIX LAGUNA INC","DYMAX ASIA PACIFIC PTE. LTD","US",6,"GLUE",1655432,61,27138.22951,"United States"
"2858",2858,"B/E AEROSPACE B.V. - (PHIL BRANCH)","KLX AEROSPACE SOLUTION KLX INC","US",6,"OTHERS",432696,115,3762.573913,"United States"
"2859",2859,"HENKEL PHILIPPINES INC.","HENKEL LOCTITE (CHINA) CO. LTD","CN",6,"ADHESIVE",1140409,768,1484.907552,"China"
"2860",2860,"HENKEL PHILIPPINES INC.","HENKEL GLOBAL SUPPLY CHAIN B.V","NL",6,"OTHERS",1905845,1205,1581.614108,"Netherlands"
"2861",2861,"HENKEL PHILIPPINES INC.","HENKEL CORPORATION","US",6,"GLUE",386706,116,3333.672414,"United States"
"2862",2862,"HENKEL PHILIPPINES INC.","HENKEL CORPORATION","US",6,"OTHERS",700713,860,814.7825581,"United States"
"2863",2863,"PIVOT-HAWKS MANILA. INC","PIVOT INTERNATIONAL INC.","US",6,"SEAL",383805,136,2822.095588,"United States"
"2864",2864,"UNITED PULP AND PAPER CO. INC.","KANZEN INTERNATIONAL LIMITED","TH",6,"ENZYMES",308109,360,855.8583333,"Thailand"
"2865",2865,"IM DIGITAL PHIL INC","SEKONIX CO. LTD","KR",6,"OTHERS",1008578,10,100857.8,"South Korea"
"2866",2866,"GBPLEN CORPORATION","KOLEN CO., LTD,","KR",6,"OTHERS",2984461,425,7022.261176,"South Korea"
"2867",2867,"BARENTZ PHILIPPINES INC.","NOVOZYMES MALAYSIA SDN BHD","MY",6,"ENZYMES",427290,188,2272.819149,"Malaysia"
"2868",2868,"INTEGRATED MICRO-ELECTRONICS INC.","HENKEL ELECTRONIC MATERIALS","US",6,"OTHERS",954727,39,24480.17949,"United States"
"2869",2869,"TONG HSING ELECTRONICS PHILS. INC.","HENKEL ELECTRONICS SEMICONDUCTOR MA","US",6,"OTHERS",652016,34,19176.94118,"United States"
"2870",2870,"INTEGRATED MICRO-ELECTRONICS INC.","HENKEL LOCTITE","CN",6,"OTHERS",333101,81,4112.358025,"China"
"2871",2871,"AMPLEON PHILIPPINES INC","HENKEL ELECTRONICS MATERIALS","US",6,"OTHERS",2558813,112,22846.54464,"United States"
"2872",2872,"AMPLEON PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",6,"OTHERS",2582600,169,15281.6568,"United States"
"2873",2873,"AMERTRON INCORPORATED","MATERIAL TECHNOLOGY PTE LTD.","SG",6,"OTHERS",2328198,88,26456.79545,"Singapore"
"2874",2874,"ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL TECHNOLOGIES (KOREA) LIMITED","KR",6,"OTHERS",6594610,611,10793.14239,"South Korea"
"2875",2875,"VISHAY (PHILS.) INC.","ABLESTIK (SHAGHAI) LTD.","CN",6,"OTHERS",3745947,834,4491.543165,"China"
"2876",2876,"AMERTRON INCORPORATED","ABLESTIK (SHAGHAI) LTD.","CN",6,"OTHERS",318926,30,10630.86667,"China"
"2877",2877,"AMERTRON INC.","MATERIAL TECHNOLOGY PTE LTD","SG",6,"ADHESIVE",690207,36,19172.41667,"Singapore"
"2878",2878,"ANALOG DEVICES PHILIPPINES INC","HENKEL ELECTRONIC MATERIAL LLC","US",6,"OTHERS",1830398,35,52297.08571,"United States"
"2879",2879,"LUFTHANSA TECHNIK PHILIPPINES INC.","HYPERCOAT ENTERPRISES PTE LTD","SG",6,"OTHERS",393095,87,4518.333333,"Singapore"
"2880",2880,"TI (PHILIPPINES) INC.","HENKEL LOCTITE (CHINA) CO LTD","CN",6,"OTHERS",359055,23,15611.08696,"China"
"2881",2881,"AMERTRON INCORPORATED","HENKEL LOCTITE (CHINA) CO LTD.","CN",6,"OTHERS",369486,41,9011.853659,"China"
"2882",2882,"AMERTRON INCORPORATED","HENKEL ELECTRONIC MATERIAL LLC","US",6,"OTHERS",286917,136,2109.683824,"United States"
"2883",2883,"LUFTHANSA TECHNIK PHILIPPINES INC.","CHEMETALL HONG KONG LTD","HK",6,"SEAL",2513246,6,418874.3333,"Hong Kong SAR China"
"2884",2884,"LUFTHANSA TECHNIK PHILIPPINES INC.","CHEMETALL GMBH.","DE",6,"SEAL",81829537,220,371952.4409,"Germany"
"2885",2885,"AMERTRON INCORPORATED","SOL EPOXY INC.","US",6,"EPOXY",3462724,585,5919.186325,"United States"
"2886",2886,"SMK ELECTRONICS PHILS CORP","LG CHEM LTD","KR",6,"ADHESIVE",1327358,638,2080.498433,"South Korea"
"2887",2887,"SMK ELECTRONICS PHILS CORP","SUNNY SEALING","JP",6,"ADHESIVE",1321355,127,10404.37008,"Japan"
"2888",2888,"TDK PHILIPPINES CORPORATION","PANEL GROUP PANEL TRADING CO LTD","TW",6,"ADHESIVE",1087631,104,10457.99038,"Taiwan"
"2889",2889,"FUTABA CORPORATION OF THE PHIL","FUTABA CORPORATION","JP",6,"OTHERS",17687314,1116,15848.84767,"Japan"
"2890",2890,"FUTABA CORPORATION OF THE PHIL","FUTABA CORPORATION","JP",6,"OTHERS",4539575,362,12540.26243,"Japan"
"2891",2891,"BRENNTAG INGREDIENTS INC.","DUPONT NUTRITION BIOSCIENCES","DK",6,"ENZYMES",884002,460,1921.743478,"Denmark"
"2892",2892,"ATLANTIC GRAINS INC","STERN INGREDIENTS ASIA-PACIFIC","DE",6,"OTHERS",472703,300,1575.676667,"Germany"
"2893",2893,"LUFTHANSA TECHNIK PHILIPPINES INC.","PPG INDUSTRIES (SINGAPORE) PTE. LTD","SG",6,"SEAL",852553,180,4736.405556,"Singapore"
"2894",2894,"FRANCHIZ SERVICES INC.","ALATAS SINGAPORE PTE LTD","SG",6,"OTHERS",288301,43,6704.674419,"Singapore"
"2895",2895,"N.T. PHILIPPINES INC.","MULTEK FLEXIBLE CIRCUITS INC.","US",6,"OTHERS",945275,118,8010.805085,"United States"
