DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
28-Mar,PHILIPPINE FLOUR MILLS (A DIVISION,MUEHLENCHEMIE GMBH & CO. KG,SEASPAN ZAMBEZI V. 008E,MNL215869,DE,5000.00,"ELCO P-100 K, EMCEFERRO ELECTROLYTIC","78,387.74",4219657.00
23-Mar,ALTERNATIVES FOOD CORP,"QINGDAO LANKANG INTERNATIONAL CO.,",PHILIPPA SCHULTE,AAJY008664,TR,75000.00,EMPRO 90 ISOLATED SOY PROTEIN (EMULSION GRA,"78,600.00",4187166.00
23-Mar,ALTERNATIVES FOOD CORP,"QINGDAO LANKANG INTERNATIONAL CO.,",COSCO FUKUYAMA,COAU7042148430,TR,75000.00,EMPRO 90 ISOLATED SOY PROTEIN (EMULSION GRA,"78,600.00",4187166.00
26-Mar,AMPERE RESOURCES CORPORATION,BDP ASIA PACIFIC PTE LTD,NYK JOANNA 065N,30108,SG,3314.00,"ENDOTHERMIC FIRESTOP SEALANT, INTUMISCENT","33,300.66",1825874.00
8-Mar,SAN MIGUEL BREWERY INC,NOVOZYMES MALAYSIA SDN BHD,NYK JOANNA V. 064N,01PKG0120751,US,13200.00,"ENZYMES (ATTENUZYME CORE, TERMAMYL SC DS, UL","115,382.20",6189127.00
13-Mar,JTK ELECTRONIC COMPONENTS,WELLS ELECTRONIC MATERIAL,SITC SHANDONG,SZHOE18035719,CN,1990.00,EPOXY ADHESIVE,"10,609.26",586271.00
10-Mar,SIIX LOGISTICS PHILS. INC.,SIIX CORP. TOKYO HEADQUARTER,IWASHIRO 252S,64400,JP,275.00,EPOXY RESIN,"6,418.53",353874.00
6-Mar,SIIX LOGISTICS PHILS. INC.,SIIX CORP. TOKYO HEADQUARTER,WAN HAI 313 S169,63582,JP,6985.00,"EPOXY RESIN, HARDENER","38,083.73",2089531.00
1-Mar,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,CALLAO BRIDGE 125S,NYKSSM7AA7206700,JP,844.00,"E-TEC, ADHESIVE, SILICON SEALANT","18,738.59",1031694.00
8-Mar,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,IWASHIRO 252S,NYKSSM7AA7207100,JP,657.00,"E-TEC, ADHESIVE, SILICON SEALANT","15,206.78",834030.00
