DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
27-Sep,ASCO MARKETING CORPORATION,GELNEX INDUSTRIA E COMERCIO LTDA,SAN FRANCISCA,KPM00189118,BR,10000.00,BEEFSKIN GELATIN 220 BLOOM 20 MESH,"54,000.00",3023945.00
11-Sep,EDWARD KELLER (PHILS.) INC.,GELNEX INDUSTRIA E COMERCIO LT,MSC GIULIA V.826R,2018ITJMNL2736,BR,20000.00,BEEFSKIN GELATIN 240 BLOOM 40 MESH,"97,161.33",5361638.00
10-Sep,NESTLE PHILIPPINES INC.,NESTLE USA INC,LOS ANDES BRIDGE 103,ONEYRICUF0965600,US,2179.00,BENEPROTEIN 6X8OZ N1 XI,"36,148.38",1967932.00
4-Sep,PHILIPPINE INDUSTRIAL SEALANTS &,THE DOW CHEMICAL COMPANY,EVER LEARNED 028W,OOLU2102646240,US,13302.00,BETASEAL (TM) U-818 URETHANE SEALANT,"77,529.49",4360560.00
24-Sep,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",ATLANTIC SOLLI 1817S,SITGSHMNL02229,CN,12000.00,"BLUESIL TCS 7525AR, BLUESIL TCS 7525 B","120,960.00",6890127.00
28-Sep,SUMI PHILIPPINES WIRING SYSTEMS,SUMITOMO WIRING SYSTEMS LTD,NASIA 177S,ONEYNG8CC2524500,JP,172.00,BOND,"5,104.48",293409.00
28-Sep,SUMI PHILIPPINES WIRING SYSTEMS,SUMITOMO WIRING SYSTEMS LTD,NASIA 177S,ONEYNG8CC2526700,JP,125.00,BOND,"3,840.41",221204.00
21-Sep,INTERNATIONAL WIRING SYSTEMS PHILS,SIIX CORPORATION,NYK SILVIA 0501S,ONEYNG8CC2530900,JP,168.00,BOND,"3,529.12",202850.00
21-Sep,SUMI PHILIPPINES WIRING SYSTEMS,SUMITOMO WIRING SYSTEMS LTD,NYK SILVIA 0501S,ONEYNG8CC2522300,JP,93.00,BOND,"3,045.16",174732.00
13-Sep,SUMI PHILIPPINES WIRING SYSTEMS,SUMITOMO WIRING SYSTEMS LTD,IRENES RESPECT 0003S,ONEYNG8CC2369500,JP,84.00,BOND,"3,045.16",173173.00
