DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
3-Apr,YAMASHIN CEBU FILTER MFG. CORP.,"YUN TEH INDUSTRIAL CO.,LTD.",WAN HAI,NNR180300585,TW,8000.00,"JOINTMINE, JOINTMIDE","31,692.00",1748008.00
17-Apr,FZ IMPORT EXPORT INC.,JASOL ASIA PACIFIC LIMITED,M/V KOTA JUTA V.0326E,MPE1800852,TH,3000.00,LOTEMP 635 (MODIFIED STARCH),"5,397.84",287260.00
26-Apr,CEBU FURNITECH MARKETING INC.,"MIROTONE (THAILAND) CO., LTD.",UNI ARISE 529S,EGLV050800315860,TH,6500.00,"MIROBILD, MIROCRYL, COLOURANT, MIROKEY","13,899.30",762969.00
4-Apr,SUN-ACE TRADE AND COMMODITIES INC.,PAN KOREA CORPORATION,WAN HAI 163  V.S279,0058X07713,KR,90000.00,MODIFIED STARCH,"27,278.40",1488062.00
18-Apr,SUN-ACE TRADE AND COMMODITIES INC.,PAN KOREA CORPORATION,WAN HAI 163  V.S280,0058X07739,KR,90000.00,MODIFIED STARCH,"27,278.40",1482014.00
17-Apr,MATERIALS SOLUTIONS  INC.,PARAMELT SPECIALTY MATERIALS (SUZHO,SITC HAINAN,SITGSHCBT04210,CN,10000.00,PLASTOMELT 505,"22,556.09",1183446.00
10-Apr,FISCHER PH ASIA INC,FISCHERWERKE GMBH AND CO.KG,LOBIVIA OR SUBS,STRCEBI00054,DE,1498.00,PU750 B3 E PU FOAM ENGL CODE UN1950- FISCHER,"15,254.18",839564.00
26-Apr,FISCHER PH ASIA INC,FISCHERWERKE GMBH AND CO.KG,KOTA JUTA OR SUBS,STRCEBI00211,DE,1275.00,PU750 B3 E PU FOAM ENGL CODE UN1950- FISCHER,"7,627.09",423799.00
25-Apr,DIAMOND INTERIOR IND. CORP.,ZHEJIANG TIANZHIWANG ADVANCED MATER,SITC SHANDONG 1810S,SITGSHCBT05041,CN,6501.00,SEALANT,"5,909.76",312824.00
13-Apr,TFE SALES MKTG CORP.,"SHIN-ETSU CHEMICAL CO., LTD.",CHATTANOOGA 240,AMP0277124,JP,28800.00,SEALANTS (SHIN-ETSU),"19,820.48",1124563.00
3-Apr,CEBU MITSUMI INC.,OHMIYA CORPORATION,WAN HAI,TYOACG50112,JP,932.00,STC. TOHOCLEAN,"5,934.60",331655.00
10-Apr,CEBU MITSUMI INC.,OHMIYA CORPORATION,WAN HAI,TYOACH98346,JP,932.00,STC. TOHOCLEAN,"5,934.60",330525.00
20-Apr,CEBU MITSUMI INC.,OHMIYA CORPORATION,WAN HAI,TYOACL75293,JP,932.00,STC. TOHOCLEAN,"5,877.90",327708.00
12-Apr,BERBENWOOD INDUSTRIES INC.,AKZO NOBEL COATING VIETNAM LIMITED,LOBIVIA V 64,SECEB1803005901,SG,3303.00,SYNTEKO GLUE.HARDENER/MODIFIER/PUR ADHESIVE,"13,387.09",738210.00
20-Apr,SCOTTIE INC.,MOHM CHEMICAL SDN BHD,LOBIVIA 065E,PGU0102485,MY,1872.00,TARASILICONE ACETIC SEALANT CLEAR/GREY,"8,486.27",448612.00
17-Apr,BASF PHILIPPINES INC,BASF (MALAYSIA) SDN. BHD.,INTERASIA PROGRESS N002,0458A10224,MY,1842.00,UCRETE,"5,248.46",275825.00
2-Apr,GENERAL MILLING CORPORATION,"SEACOST LOGISTICS, INC. C/O ENGRAIN",HYUNDAI HARMONY V1812S,NCEB111225,US,1093.00,VOLMAX GMC400 ENZYME SUPPLEMENT FOR WHEAT FL,"39,664.80",2138259.00
19-Apr,TFE SALES MKTG CORP.,"DOW SILI (ZJG) CO., LTD.",WAN HAI S280,42040,CN,15375.00,XIAMETER SLT-7160,"10,124.20",562691.00
19-Apr,TFE SALES MKTG CORP.,"DOW SILI (ZJG) CO., LTD.",WAN HAI S208,42784,CN,15375.00,XIAMETER SLT-7160,"10,124.20",562691.00
3-Apr,TFE SALES MKTG CORP.,"DOW SILI (ZJG) CO., LTD.",WAN HAI 161 S307,35083,CN,15375.00,XIAMETER SLT-7160 SEALANT OXIME TRANLUCENT (,"10,124.20",579454.00
26-Apr,TFE SALES MKTG CORP.,"DOW SILI (ZJG) CO., LTD.",WAN HAI 161 S309,46755,CN,14760.00,XIAMETER SLT-7160 SEALANT OXIME TRANSLUCENT,"9,974.20",554383.00
17-Apr,ASIAN SPORTS APPAREL PHILIPPINES,FWUJI RESINS CHEMICAL INDUSTRY,WAN HAI 162 V. S294,0028A02444,TW,13556.00,"ADHESIVE FJ-176HW,ADHESIVE FJ-166H,ADHESIVE","44,853.30",2519979.00
17-Apr,ASIAN SPORTS APPAREL PHILIPPINES,FWUJI RESINS CHEMICAL INDUSTRY,WAN HAI 162 V. S294,0028A02444,TW,540.00,HARDENER FJ-258,"6,412.50",350647.00
23-Apr,CEBU MITSUMI INC.,"MITSUMI ELECTRIC CO.,LTD.",5X0138,781WX9G4Z8K,JP,45.00,PALLABRIGHT 2000 PLATING FORMULATION,"46,990.38",2585275.00
20-Apr,MATERIALS SOLUTIONS  INC.,PT.AICA INDRIA,ESPERANZA 003,JKDVO0055380,ID,31580.00,"30DRUMS INPACK 248 CC,249CTNS INPACK 249 LM,","61,900.36",3238308.00
