DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
6-Aug,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES(GUANG,ASSICILLA V.18009S,TYSD011807230011,CN,9600.00,1X20 HOTMELT ADHESIVE,"49,529.43",2646836.00
3-Aug,BAYER PHILIPPINES INCORPORATED,ADISSEO ASIA PACIFIC PTE LTD,XIN QIN HUANG DAO V 045E,SEMNL180746103,SG,13800.00,1X20 STC 14 PLT ROVABIO MAX ADV P25& ROVABIO,"141,495.66",7768109.00
3-Aug,BAYER PHILIPPINES INCORPORATED,ADISSEO ASIA PACIFIC PTE LTD,XIN QIN HUANG DAO V 045E,SEMNL180746102,SG,18000.00,1X20 STC 18 PLT ROVABIO ADVANCE T FLEX 25,"182,578.20",10020429.00
27-Aug,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,CPO NORFOLK 0KR0XS,TSN31103328,CN,8000.00,1X20 STC MEDLEY BL 91667020 S 321 T,"55,832.37",2994953.00
7-Aug,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B V,APL VANDA 0FM0CE1MA,ANT1159440A,FI,10000.00,1X20 STC PREFERENZ R P2084 GRANULAR PROTEASE,"53,725.98",2955886.00
20-Aug,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B V,CMA CGM LAPEROUSE 0FM0OE1MA,ANT1167274,FI,10000.00,1X20 STC PREFERENZ R P2084 GRANULAR PROTEASE,"53,725.98",2972008.00
22-Aug,SEALBOND CHEMICAL INDUSTRIES INC.,MINETECH ASPHALT MAN,XIN QIN HUANG DAO V.045E,76622,MY,19600.00,1X20 STC: PRIMER EMULSION,"7,546.00",435054.00
6-Aug,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,GUAYAQUIL BRIDGE V. 743E,ONEYBKKU52529900,TH,12686.00,1X20RF COMPOUNDED PLASTIC,"44,577.91",2454377.00
8-Aug,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,EVER ELITE V. 1041-131W,EGLV415810248461,US,19125.00,1X40 CONTAINER STC: 765 BAGS C TEX 06214,"16,328.03",905606.00
20-Aug,HENKEL PHILIPPINES INC.,HENKEL ADHESIVE TECHNOLOGIES,CALICANTO BRIDGE 262E,SSGN2630501804,VN,18030.00,"1X40 CTR STC LOCTITE BONDACE 7103LTF (E),LOC","44,890.80",2419433.00
9-Aug,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,VNL RUBY,TYSD011807250002,CN,20100.00,1X40 HC STC ADHESIVE DM2847,"24,589.66",1319935.00
9-Aug,FRABELLE CORPORATION,"QINGDAO LANKANG INTERNATIONAL CO.,L",DERBY D 0KR0LS1NC,AAGA013663,CN,22000.00,1X40 SOY PROTEIN ISOLATED,"52,360.00",2807391.00
30-Aug,FRABELLE CORPORATION,"QINGDAO LANKANG INTERNATIONAL CO.,L",CPO NORFOLK 0KR0XS1NC,AAGA013705,CN,22000.00,1X40 SOY PROTEIN ISOLATED,"52,360.00",2819253.00
17-Aug,SEALBOND CHEMICAL INDUSTRIES INC.,HOYLAKE TECHNOLOGY PTE LTD,JSP BORA 1846,181669,RU,15365.00,1X40 STC: PRIMER SOLVENT BASE; EUROPRIMER,"16,192.78",917201.00
20-Aug,INGREDION PHILIPPINES INC.,INGREDION INC,E R MONTECITO V 826S,63687,US,18371.00,1X4O DRY CNTR STC THERMTEX TRUETRACE IP,"20,705.99",1156985.00
23-Aug,ESICOR INCORPORATED,VANDEX INTERNATIONAL LTD.,THALASSA PATRIS V.0985-023E,THAM3926561,DE,22000.00,22 PALLETS  OF  880 BAGS VANDEX SUPER,"18,668.65",1060119.00
13-Aug,BORLA ENTERPRISES,DOW CHEMICAL SILICONES KOREA L,WAN HAI 205,PUS08MNL18TIF085,KR,11310.00,23 PKGS. SILICONE SEALANT,"8,887.70",504520.00
13-Aug,BORLA ENTERPRISES,DOW CHEMICAL SILICONES KOREA L,WAN HAI 213,PUS08MNL18TIF087,KR,11310.00,23 PKGS. SILICONE SEALANT,"8,887.70",504520.00
15-Aug,BORLA ENTERPRISES,DOW CHEMICAL SILICONES KOREA L,WAN HAI 205,PUS08MNL18TIF086,KR,11310.00,23 PKGS. SILICONE SEALANT,"8,887.70",504520.00
15-Aug,MAPEI PHILIPPINES INC,MAPEI MALAYSIA SDN BHD,LODESTAR,QNS002775,MY,1800.00,2X20 & 1X40 CNTR 40 PLTS EPORIP/A-1200 PAILS,"8,199.64",463838.00
7-Aug,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MAREN MAERSK V.826E,48667,DE,34000.00,2X20 CONTAINER STC: 1360 BAGS C TEX 06205 AC,"30,057.60",1662275.00
29-Aug,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,GUAYAQUIL BRIDGE V. 744E,ONEYBKKU81211600,TH,25392.00,2X20RF EPOXY  ENCAPSULATION MATERIAL,"88,776.08",4902314.00
14-Aug,ATLANTA INDUSTRIES INC.,EZ WELD,OOCL BEIJING V.061W,805011,US,1157.00,3 SKIDS STC CPVC CEMENT,"9,421.52",527156.00
6-Aug,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MAREN MAERSK V. 826E,48670,DE,54000.00,3X20 CONTAINER STC: 2160 BAGS C TEX 06214 AC,"46,111.50",2546557.00
